geo_h3_10,city,Автозапчасти для иномарок,Авторемонт и техобслуживание (СТО),Алкогольные напитки,Аптеки,Банки,Быстрое питание,Доставка готовых блюд,Женская одежда,Кафе,Косметика / Парфюмерия,Ногтевые студии,Овощи / Фрукты,Парикмахерские,Платёжные терминалы,Постаматы,Продуктовые магазины,Пункты выдачи интернет-заказов,Рестораны,Страхование,Супермаркеты,Цветы,Шиномонтаж,lat,lon
8a0bb0200a5ffff,Новосибирск,,,,,,,,,,,,,,1.0,,2.0,,,,,,,54.953869429302586,83.16300765519046
8a0bb0200b37fff,Новосибирск,,,,,,,,,,,,,,,,1.0,,,,,,,54.94856280281563,83.15303831481776
8a0bb0201cd7fff,Новосибирск,,,,,,,,,,,,,,,,,,,,,,1.0,54.95806420774958,83.1740644201126
8a0bb0201d97fff,Новосибирск,,,,,,,,,,,,,,,,2.0,,,,,,,54.95379868520772,83.1674070500606
8a0bb0204027fff,Новосибирск,,,,,,,,,,,,,,1.0,,,,,,,,,54.935863943868,83.12648148201176
8a0bb020402ffff,Новосибирск,,,,,,,,,,,,,,,,,,,,3.0,,,54.93693979876831,83.1275944885283
8a0bb020404ffff,Новосибирск,,2.0,,,,,,,,,,,,,,,,,,,,,54.94016724655386,83.13093380758104
8a0bb0204067fff,Новосибирск,,,,2.0,,1.0,,,,,,,,1.0,1.0,,1.0,,,3.0,,,54.93912612176472,83.12762141888383
8a0bb0204107fff,Новосибирск,,,,,,,,,,,,,2.0,,,,,,,,,2.0,54.934822648249394,83.12316947281015
8a0bb0204117fff,Новосибирск,,,,2.0,,1.0,2.0,,,,1.0,1.0,,2.0,,,,,,6.0,1.0,,54.93371217561924,83.12425561871513
8a0bb0204127fff,Новосибирск,,,,,,1.0,2.0,,,,1.0,1.0,,,,,1.0,,,,,,54.93485718753665,83.12097040301104
8a0bb0204137fff,Новосибирск,,,,,,,,,,,,,,,,,,,1.0,,,,54.93374673116522,83.12205661107379
8a0bb0204147fff,Новосибирск,,,,,,,,,,2.0,,,,1.0,,2.0,,,,,,,54.93808489156029,83.1243091528088
8a0bb020414ffff,Новосибирск,,,,,,,,,,,,,1.0,,,,,,,,,,54.93916075393517,83.12542216924011
8a0bb0204167fff,Новосибирск,,,,2.0,,,,,,,,,,1.0,,3.0,,,,2.0,1.0,,54.93811946102692,83.12210993091965
8a0bb020416ffff,Новосибирск,,,1.0,4.0,,1.0,,3.0,,2.0,1.0,3.0,6.0,3.0,4.0,,1.0,,2.0,,,,54.93919534662333,83.12322290238554
8a0bb02041a7fff,Новосибирск,,,,2.0,,,,,,,,,,,,,,,,2.0,,,54.93260169047088,83.12534170741544
8a0bb02041affff,Новосибирск,,,,,,,,,,,,1.0,3.0,,,,,,,,,,54.93367758059735,83.12645460915313
8a0bb0204317fff,Новосибирск,,1.0,,,,,,,,,,,,,,,,,,,,,54.94124302350526,83.13204701377474
8a0bb0204327fff,Новосибирск,,,,,1.0,,,,,,,1.0,,1.0,,,,,1.0,,,,54.94238822413856,83.12876151806542
8a0bb0204337fff,Новосибирск,,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,54.94127774160721,83.12984769143289
8a0bb0204527fff,Новосибирск,,,,,,,,,,,,,,,,,,,,2.0,,,54.92708373008855,83.12857265824329
8a0bb020470ffff,Новосибирск,,,,,,,,,,,,,,,,,,,,,,1.0,54.93565550295554,83.1396757056834
8a0bb0204737fff,Новосибирск,,3.0,,,,,,,,,,,,,,,,,,,,,54.93350401338004,83.13744930307371
8a0bb0204757fff,Новосибирск,,,,,,,,,,1.0,,,,,,,,,,,,,54.93673121850932,83.1407889818579
8a0bb0204777fff,Новосибирск,,,,,,,,,,2.0,,,,,,,,,,,,,54.936766080574486,83.13858994273225
8a0bb02047a7fff,Новосибирск,,1.0,,,,,,,,,,,,,,,,,,,,,54.932358582623614,83.140733843706
8a0bb0204807fff,Новосибирск,,,,,,,,1.0,,,,,,1.0,,,,,,,,,54.9360709635811,83.11328663873151
8a0bb0204817fff,Новосибирск,,,,,,,,,,,,,,1.0,,,,,,,,,54.934960568523366,83.11437309047012
8a0bb020482ffff,Новосибирск,,,,,,,,,,,1.0,,4.0,,,,,,,,,,54.93718134611024,83.11220012977311
8a0bb0204857fff,Новосибирск,,,,,,,,,,,,,,1.0,,4.0,,,,,,,54.93822293252984,83.11551216207397
8a0bb020488ffff,Новосибирск,,,,2.0,,,,,,,2.0,,3.0,1.0,3.0,4.0,,,,,,,54.93489168734531,83.11877131601715
8a0bb020489ffff,Новосибирск,,,2.0,,,,,,,,,,,,,,,,,,,,54.933781247234414,83.11985758623543
8a0bb02048a7fff,Новосибирск,,,2.0,,,,,,,,2.0,1.0,,,1.0,,,,,6.0,,,54.93385016093896,83.11545948499268
8a0bb02048affff,Новосибирск,2.0,,1.0,2.0,,,6.0,,,,,,1.0,1.0,,,1.0,,,2.0,,,54.9349261476745,83.11657221183474
8a0bb02048b7fff,Новосибирск,,,,,,,,,,,,,,,,,,,,,,3.0,54.932739740829845,83.11654582230291
8a0bb02048c7fff,Новосибирск,,,,,,,,,,,,,,1.0,,,,,,2.0,,,54.93707806271228,83.11879781525086
8a0bb02048cffff,Новосибирск,,,,2.0,,1.0,,,,,,2.0,,,,,,,,2.0,1.0,,54.938153991011305,83.11991069182993
