geo_h3_10,city,population,lat,lon
8a0bb0200907fff,Новосибирск,12,54.942109503874754,83.14635611152772
8a0bb0200927fff,Новосибирск,8,54.942144482090114,83.14415684773496
8a0bb020092ffff,Новосибирск,28,54.94322010390471,83.14527037851211
8a0bb0200937fff,Новосибирск,12,54.94103388579408,83.14524258574572
8a0bb0200977fff,Новосибирск,10,54.94429570621941,83.14638395922066
8a0bb0204027fff,Новосибирск,290,54.935863943868,83.12648148201176
8a0bb020402ffff,Новосибирск,180,54.93693979876831,83.1275944885283
8a0bb0204067fff,Новосибирск,332,54.93912612176472,83.12762141888383
8a0bb020406ffff,Новосибирск,225,54.94020194143023,83.12873453019691
8a0bb0204117fff,Новосибирск,1164,54.93371217561924,83.12425561871513
8a0bb0204137fff,Новосибирск,1172,54.93374673116522,83.12205661107379
8a0bb0204147fff,Новосибирск,680,54.93808489156029,83.1243091528088
8a0bb020414ffff,Новосибирск,390,54.93916075393517,83.12542216924011
8a0bb0204157fff,Новосибирск,550,54.936974423974526,83.1253953460163
8a0bb020415ffff,Новосибирск,698,54.93805028261229,83.12650835749113
8a0bb0204167fff,Новосибирск,750,54.93811946102692,83.12210993091965
8a0bb020416ffff,Новосибирск,210,54.93919534662333,83.12322290238554
8a0bb0204177fff,Новосибирск,540,54.93700900970118,83.12319618629522
8a0bb02041a7fff,Новосибирск,2,54.93260169047088,83.12534170741544
8a0bb02041affff,Новосибирск,1162,54.93367758059735,83.12645460915313
8a0bb0204287fff,Новосибирск,8,54.94110375628233,83.14084413076488
8a0bb020428ffff,Новосибирск,10,54.94217942082654,83.14195756667536
8a0bb020429ffff,Новосибирск,6,54.94106884077721,83.14304336688672
8a0bb02042d7fff,Новосибирск,10,54.943255065873565,83.1430710525146
8a0bb02042dffff,Новосибирск,8,54.94433069142179,83.14418458828506
8a0bb02042f7fff,Новосибирск,2,54.94328998836168,83.14087170925248
8a0bb0204327fff,Новосибирск,450,54.94238822413856,83.12876151806542
8a0bb0204607fff,Новосибирск,20,54.93558570686212,83.14407364231549
8a0bb020466ffff,Новосибирск,4,54.93995824821564,83.14412910989026
8a0bb020480ffff,Новосибирск,600,54.9371469577946,83.11439937544547
8a0bb020482ffff,Новосибирск,408,54.93718134611024,83.11220012977311
8a0bb020484ffff,Новосибирск,302,54.94040928152842,83.11553850446784
8a0bb0204857fff,Новосибирск,298,54.93822293252984,83.11551216207397
8a0bb0204867fff,Новосибирск,400,54.939367717799,83.11222631016975
8a0bb020486ffff,Новосибирск,6,54.94044370000992,83.11333910666757
8a0bb0204887fff,Новосибирск,14,54.93381572382595,83.1176585442063
8a0bb020488ffff,Новосибирск,2665,54.93489168734531,83.11877131601715
8a0bb0204897fff,Новосибирск,14,54.93270528745432,83.11874481936746
8a0bb020489ffff,Новосибирск,14,54.933781247234414,83.11985758623543
8a0bb02048a7fff,Новосибирск,4,54.93385016093896,83.11545948499268
8a0bb02048affff,Новосибирск,4302,54.93492614767451,83.11657221183475
8a0bb02048b7fff,Новосибирск,18,54.93273974082984,83.11654582230291
8a0bb02048c7fff,Новосибирск,450,54.93707806271228,83.11879781525086
8a0bb02048cffff,Новосибирск,342,54.938153991011305,83.11991069182993
8a0bb02048e7fff,Новосибирск,748,54.93711252999497,83.11659860394015
8a0bb02048effff,Новосибирск,400,54.93818848151257,83.11771143554596
8a0bb0204907fff,Новосибирск,58,54.93506359417911,83.10777562334567
8a0bb0204947fff,Новосибирск,1900,54.938326048668834,83.10891423859287
8a0bb020494ffff,Новосибирск,340,54.93940207357495,83.11002694018194
8a0bb0204957fff,Новосибирск,1518,54.93721569494109,83.1100008669293
8a0bb020495ffff,Новосибирск,1388,54.93829171610884,83.11111356359116
8a0bb020496ffff,Новосибирск,6,54.93943638986247,83.10782755302725
8a0bb020499ffff,Новосибирск,2,54.93277415472775,83.11434680805792
8a0bb0204a07fff,Новосибирск,26,54.94360251397697,83.12107684402265
8a0bb0204a0ffff,Новосибирск,38,54.94467837180944,83.12218993019127
8a0bb0204a17fff,Новосибирск,14,54.94249209275789,83.12216326116649
8a0bb0204a1ffff,Новосибирск,26,54.94356794685496,83.12327634238359
8a0bb0204a27fff,Новосибирск,44,54.94363704160948,83.11887732845993
8a0bb0204a2ffff,Новосибирск,50,54.94471292266526,83.11999036964626
8a0bb0204a37fff,Новосибирск,32,54.94252663665674,83.1199638077837
8a0bb0204a57fff,Новосибирск,22,54.94575421015255,83.12330306629204
8a0bb0204a77fff,Новосибирск,18,54.94578878423281,83.12110346076457
8a0bb0204a87fff,Новосибирск,280,54.94134705936042,83.12544899508002
